Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
0.517262	3.366113	0.517262	6.304682	2.615304	0							0.524436	2.770493
0.518927	3.379281	0.518927	6.304862	2.62363	0							0.526101	2.774564
0.520592	3.39252	0.520592	6.304976	2.631955	0							0.527766	2.778636
0.522257	3.404045	0.522257	6.30513	2.64028	0							0.529431	2.782707
0.523921	3.414858	0.523921	6.305254	2.648606	0							0.531096	2.786779
0.525586	3.427105	0.525586	6.305355	2.656931	0							0.532761	2.790851
0.527251	3.440372	0.527251	6.305423	2.665256	0							0.534426	2.794865
0.528916	3.453575	0.528916	6.30549	2.673581	0							0.536091	2.79888
0.530581	3.465729	0.530581	6.305637	2.681907	0							0.537755	2.802895
0.532246	3.4781	0.532246	6.305789	2.690232	0							0.53942	2.80691
0.533911	3.491047	0.533911	6.305968	2.698557	0							0.541085	2.810925
0.535576	3.50393	0.535576	6.306209	2.706883	0							0.54275	2.814939
0.53724	3.517766	0.53724	6.306377	2.715208	0							0.544415	2.818954
0.538905	3.52967	0.538905	6.306582	2.723533	0							0.54608	2.822969
0.54057	3.543831	0.54057	6.306771	2.731859	0							0.547745	2.826984
0.542235	3.557232	0.542235	6.306979	2.740184	0							0.54941	2.830999
0.5439	3.56997	0.5439	6.307136	2.748509	0							0.551075	2.836957
0.545565	3.583674	0.545565	6.307346	2.756835	0							0.552739	2.842916
0.54723	3.597479	0.54723	6.307495	2.76516	0							0.554404	2.848875
0.548895	3.612354	0.548895	6.307665	2.773485	0							0.556069	2.854833
0.550559	3.626182	0.550559	6.307841	2.781811	0							0.557734	2.860792
0.552224	3.639683	0.552224	6.307958	2.790136	0							0.559399	2.866751
0.553889	3.653681	0.553889	6.308065	2.798461	0							0.561064	2.872709
0.555554	3.668006	0.555554	6.308225	2.806787	0							0.562729	2.878668
0.557219	3.68237	0.557219	6.308382	2.815112	0							0.564394	2.884627
0.558884	3.697703	0.558884	6.308515	2.823437	0							0.566058	2.890585
0.560549	3.711444	0.560549	6.308696	2.831763	0							0.567723	2.894449
